sheet_name,scale,description,la,lo,date,timestamp
Артилерія та РСЗВ,,,46.97565,32.127128,2022-7-7,1657152000000
Артилерія та РСЗВ,,,47.314146,32.453223,2022-7-8,1657238400000
Артилерія та РСЗВ,,,47.246213,33.021857,2022-7-8,1657238400000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-8,1657238400000
Артилерія та РСЗВ,,,47.236213,32.970812,2022-7-8,1657238400000
Артилерія та РСЗВ,,,46.966356,32.359167,2022-7-8,1657238400000
Артилерія та РСЗВ,,,46.497864,31.826792,2022-7-8,1657238400000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-9,1657324800000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-9,1657324800000
Артилерія та РСЗВ,,,47.246213,33.021857,2022-7-9,1657324800000
Артилерія та РСЗВ,,,47.187785,32.874432,2022-7-9,1657324800000
Артилерія та РСЗВ,,,47.023995,32.427847,2022-7-9,1657324800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-10,1657411200000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-10,1657411200000
Артилерія та РСЗВ,,,46.966356,32.359167,2022-7-10,1657411200000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-10,1657411200000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-10,1657411200000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-11,1657497600000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-12,1657584000000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-11,1657497600000
Артилерія та РСЗВ,,,47.04128,32.438662,2022-7-11,1657497600000
Артилерія та РСЗВ,,,47.168671,32.446554,2022-7-13,1657670400000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-13,1657670400000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-12,1657584000000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-12,1657584000000
Артилерія та РСЗВ,,,47.286823,33.071037,2022-7-12,1657584000000
Артилерія та РСЗВ,,,47.261436,32.821056,2022-7-12,1657584000000
Артилерія та РСЗВ,,,47.27598,32.837025,2022-7-12,1657584000000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-13,1657670400000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-12,1657584000000
Артилерія та РСЗВ,,,46.896352,32.288157,2022-7-12,1657584000000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-12,1657584000000
Артилерія та РСЗВ,,,46.999938,32.395752,2022-7-13,1657670400000
Артилерія та РСЗВ,,,47.40372,32.438221,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-14,1657756800000
Артилерія та РСЗВ,,,46.870032,32.025611,2022-7-14,1657756800000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-14,1657756800000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-14,1657756800000
Артилерія та РСЗВ,,,46.885644,32.227655,2022-7-14,1657756800000
Артилерія та РСЗВ,,,46.619291,31.544722,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.331542,33.048818,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.490558,32.297098,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.368058,32.588849,2022-7-14,1657756800000
Артилерія та РСЗВ,,,47.04128,32.438662,2022-7-15,1657843200000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-15,1657843200000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-15,1657843200000
Артилерія та РСЗВ,,,47.55982,32.973923,2022-7-15,1657843200000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-15,1657843200000
Артилерія та РСЗВ,,,47.19975,32.225665,2022-7-15,1657843200000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-16,1657929600000
Артилерія та РСЗВ,,,46.896352,32.288157,2022-7-16,1657929600000
Артилерія та РСЗВ,,,46.908381,32.2575,2022-7-16,1657929600000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-16,1657929600000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-16,1657929600000
Артилерія та РСЗВ,,,47.19975,32.225665,2022-7-16,1657929600000
Артилерія та РСЗВ,,,47.52284,32.922111,2022-7-16,1657929600000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-16,1657929600000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-17,1658016000000
Артилерія та РСЗВ,,,46.824849,32.141298,2022-7-17,1658016000000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-17,1658016000000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-18,1658102400000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-18,1658102400000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-18,1658102400000
Артилерія та РСЗВ,,,46.896352,32.288157,2022-7-19,1658188800000
Артилерія та РСЗВ,,,46.885644,32.227655,2022-7-19,1658188800000
Артилерія та РСЗВ,,,46.813882,32.309469,2022-7-19,1658188800000
Артилерія та РСЗВ,,,46.80328,31.954482,2022-7-19,1658188800000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-19,1658188800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-19,1658188800000
Артилерія та РСЗВ,,,47.3838,32.51341,2022-7-20,1658275200000
Артилерія та РСЗВ,,,47.364476,32.94025,2022-7-20,1658275200000
Артилерія та РСЗВ,,,47.261436,32.821056,2022-7-20,1658275200000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-20,1658275200000
Артилерія та РСЗВ,,,46.912469,32.237155,2022-7-20,1658275200000
Артилерія та РСЗВ,,,46.80328,31.954482,2022-7-20,1658275200000
Артилерія та РСЗВ,,,47.14444,32.663701,2022-7-20,1658275200000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-21,1658361600000
Артилерія та РСЗВ,,,47.3838,32.51341,2022-7-21,1658361600000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-20,1658275200000
Артилерія та РСЗВ,,,46.824849,32.141298,2022-7-21,1658361600000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-21,1658361600000
Артилерія та РСЗВ,,,47.049012,32.179163,2022-7-21,1658361600000
Артилерія та РСЗВ,,,47.04128,32.438662,2022-7-22,1658448000000
Артилерія та РСЗВ,,,46.966356,32.359167,2022-7-22,1658448000000
Артилерія та РСЗВ,,,47.002349,32.468069,2022-7-22,1658448000000
Артилерія та РСЗВ,,,46.961971,32.482437,2022-7-22,1658448000000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-22,1658448000000
Артилерія та РСЗВ,,,47.418487,32.555622,2022-7-21,1658361600000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-21,1658361600000
Артилерія та РСЗВ,,,46.80328,31.954482,2022-7-22,1658448000000
Артилерія та РСЗВ,,,46.780528,31.952911,2022-7-22,1658448000000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-22,1658448000000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-22,1658448000000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-23,1658534400000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-23,1658534400000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-23,1658534400000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-23,1658534400000
Артилерія та РСЗВ,,,46.959077,32.011812,2022-7-25,1658707200000
Артилерія та РСЗВ,,,47.023995,32.427847,2022-7-24,1658620800000
Артилерія та РСЗВ,,,46.995222,32.112717,2022-7-25,1658707200000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-24,1658620800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-24,1658620800000
Артилерія та РСЗВ,,,46.966356,32.359167,2022-7-25,1658707200000
Артилерія та РСЗВ,,,47.161138,31.788057,2022-7-25,1658707200000
Артилерія та РСЗВ,,,47.098634,32.674144,2022-7-25,1658707200000
Артилерія та РСЗВ,,,47.14444,32.663701,2022-7-26,1658793600000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-25,1658707200000
